Utility to process github logs
Going to process projects/top_C/textmate/all_log_nomerge_function.txt 
---------- textmate ------------

COMMIT: 6cc0108961e9cc76d929d3bcf393ff7ef9e19f9a
COMMIT: 96de950ed1a949a7ba21b2c90b8465dfcc1560ae
COMMIT: c7a211b2fd90cf5d3f455465e0accf12a8fb59ec
COMMIT: f05f77909e2639b8c585ec8627407317859af3f6
COMMIT: 2b2a20b9b7136180429db37386a936a6bb62b809
COMMIT: 7b182c428bbcaef963088c3a6aca874fa0823fcd
COMMIT: 6b24c1b11f0195ef7d4b3d2f606e4361a1e58a3f
COMMIT: 6185cc17ab59c81993983dffc9eb82293738dc65
COMMIT: 59988ecdaf8e52bd2ad262204ae3f8b7c6d55f95
COMMIT: c9a16a6033bebf6f12319dfdeb905b9440e2fc40
COMMIT: 7d0100fa2bf1d458b0ea0adfa8e69baeb1ade7c5
COMMIT: 172d2d41c906ae4e3119f85847602daaab40504f
COMMIT: 201f247b2fc7fd5281ac07ca2006ad2c24410a0a
COMMIT: 645c83726269d6cdff2076c45d504cf18b2a74aa
COMMIT: d4882de422557484f53d8b86bc09e79ef6113175
COMMIT: f93f793bc5b9f4dcbbf908bac8a5357cd2b362fc
COMMIT: cccfd855ac07a54838a0e091bc4a5d4c2ec89b20
COMMIT: 0daa6d0ec2821e8d02b9ddb60270668508439a87
COMMIT: cf452cdceeff0e93049c8ca75c2b799cc9b9f911
COMMIT: 471fbe45c2561cdbf9661b577ffa2684f1a326e2
COMMIT: 896ad73ee8f54e091d4c9cdfdc235858f33948e8
COMMIT: b80d60db575ad88931e8dae0b2494de87d7f0e8f
COMMIT: 617e9df2022c9ca89f234feb10ea6a9452e2df6b
COMMIT: afdebfa57633a323f0cde177358f8160ca7a7c7b
COMMIT: 69c83e56df2ce542238f1bb1f25ea618f4d2fe70
COMMIT: db13d4c1f94dfd30afcb46c067bb73b2213aa8c3
COMMIT: 91e806443966702824a9e3605d15c972cd9ec474
COMMIT: 3a25a99d6d5a31cb05ec97ab98615aa0ca98cb2f
COMMIT: 716b8ea8f3ac38905e013651fe6160cda60ce0a8
COMMIT: 4f4fe38aec770102b190bc8b9491ecaeb302f70b
COMMIT: c73ad254cb39c0d63c77bc072b332dfbbb32083e
COMMIT: c1dcc72c41e05e997889be560fe83550fcd3c8fc
COMMIT: b23163476fb3730e515b647a9690309eae270fcd
COMMIT: a404daecce98ef3e6af6f89a31573508161eeefe
COMMIT: c3120c15aa98d68b355f0a3dae707b2f5a63092f
COMMIT: fe59a5575071594685fe2717d373bab7eacb9f8a
COMMIT: 7f7613fe62de46a691501bbc844092a94e484f28
COMMIT: dac27f75876f6fff8fa8d52e7ecaf03506e40904
COMMIT: e68290aaece24d2f55088d347b489113c6761fec
COMMIT: d985a83845d3237353ee86df78239c4be64a5e8e
COMMIT: ffd034453abb84215da1f8ea29c4351455b28ae7
COMMIT: c9400e036db68d9eda53a52d5838700bd659a946
COMMIT: 935da75a4388457244295264725f4e33f918125b
COMMIT: 5881b8677586ff058aad56c8bf818325eca3d80f
COMMIT: 1fbf878a4dc22613ae3ec0d8255df674634de774
COMMIT: 5f69ef31c7c69f04d6319430ebdce55712d0cadd
COMMIT: 6d6210e4901799e3dd9049033545b8a38e0ad38c
COMMIT: ccac862602624889566dbf9dab4212ad12853427
COMMIT: 45b297a1509153584af758a20fb73ede0fcc137f
COMMIT: 1e2f10ed46c1728cc48d519726ac78096074be2c
COMMIT: 9d218ea8464e50cdac60523a6471029e57f7bc48
COMMIT: 63d431b5edb76dc0f0d222ad0a2a43319df63e04
COMMIT: 4313571fc9b05d3bb0ebd38457cc6e791de40631
COMMIT: 080dd3da18ebfbd4f148194e1684520b63a532a2
COMMIT: 6535546c87d3b57cf9904d4f814d099000315838
COMMIT: f45cb07d52dfbd47ba52cd6c85e4130f1996f51c
