Utility to process github logs
Going to process projects/top_C++/rethinkdb/all_log_nomerge_function.txt 
---------- rethinkdb ------------

COMMIT: 9d9ed72d79ee284b4771a16eb1a68c9739827a98
COMMIT: f3ea093cd2d42498f677a0e9111313f7a5d6e530
COMMIT: 9da987cefc5ccb2a157124cb171aa3e72f0e6113
COMMIT: 8db23d200969e1a638d337adace84039383b1f97
COMMIT: 57946dc379a24d1bed4d9249396df8e06bb7088c
COMMIT: 5af01e36286a8e04a8f7e0d77e3651aaced3b839
COMMIT: 12940facfe80a99fd03b2bf9eabd26bc05f07f22
COMMIT: c41b372f64703d11c58bfc92f9f12e5fbd9e21a8
COMMIT: e0c5aad9862e200b3297643589d91d78f0128bef
COMMIT: a1ab0cfde8e726bbbb78df1f63b370324084d2ad
COMMIT: c763bdd145bbaa1466185574232dc24d049e711f
COMMIT: b5f9c088058afe6c6185788cb2fcdd58eb86e3af
COMMIT: 22b660d27d88747e15b72ad5cc9725d7cdabcd98
COMMIT: 0ae850e4ea87fc70baced54c2ef72e50f8fa4012
COMMIT: 9dff5bc06aa36a0bd4a38a62874195e9e624ec95
COMMIT: 3c21ad5f97bcf75bd459bed9e56bb9ebafea58a5
COMMIT: b10cee794500479a558c64649e8f96dbf4bd430d
COMMIT: 2c1104558822d9e049054f3d1976d3363978f28e
COMMIT: 971809b0bb1d1d4fbef3edf372090ad8d12ea390
COMMIT: b312f92e5813e341e5884790b70fddbce90bab00
COMMIT: 560e516331c44ab3e162366881f8f4aa1782f71e
COMMIT: d20d16bf5784c8e4463b063353e24b2abaeaeb2a
COMMIT: d481fb7f371834524a3ab3ff347db3f7f9f38f72
COMMIT: 664657a437e7c03cee038973eff62963d824e1c0
COMMIT: 99c570ec90e55ef6219939c9ed26940f0050d90e
COMMIT: 290c2bdaec34878d60037f8e72473d078e8812e0
COMMIT: 0f0f6edc72a9761c35600e1b04ce7162ba190c31
COMMIT: 4b1e5b51b36ec6fb9c90b81c1d2d5dce3dd08811
COMMIT: fb13d8a91ea9ab562e78cb16780354bd23dc32a9
COMMIT: 9a630c8a38ab32db667a3ed6bed1aa2cee9469eb
COMMIT: d759d951f4fe37a9b60a5f4e808a3237267a4c75
COMMIT: 505f4a8a15ebb5a63c731305f7cf3ac0accce081
COMMIT: 04bf2ef227cd12daaac17e4e351b10abe908e01e
COMMIT: a5582bdd4c90fc26fd799183df430c37ca4d6a38
COMMIT: 74a1a268a7d03d7e6d79542c519c368cbc43c397
COMMIT: 12dba507ace2b60acbd089df5dd5be791eab8956
COMMIT: 51290b0fbca75f169d48bdbf1a6a718b04ab62b4
COMMIT: be3c30a8ea60f6f2d95adef6693abbdd7eab4dfc
COMMIT: eaa2e2a6a566240c253a051cafd7f544e8989ca0
