Utility to process github logs
Going to process projects/top_C/beanstalkd/all_log_nomerge_function.txt 
---------- beanstalkd ------------

COMMIT: 382723cca3a4bb907442b281ad5dda97b48be8e2
COMMIT: 8ddcce9ab056591e941b38b536806fc91a7eaf18
COMMIT: 1fd09c575a0ebfdd8b7bca7591dc2709e598c526
COMMIT: e8b10b81218460b0fa1bd8bdfebaea878cb4ef59
COMMIT: d2d211b545ce1af085c851cff651ba8e1332faf4
COMMIT: 712854f920159cd456628f9b6f034ffc1f6ef718
COMMIT: 9bcbed5fa0f1d7e76cd8032822fd0a4dfbaff5b9
COMMIT: c6c16b428855e05fca1323a3e6292946973b833e
COMMIT: 950e7770054db0042cf552099190a433ee5bba30
COMMIT: ab9954d8acf3cd113e700ba3cb44091f6d65ef59
COMMIT: 6dc2986a982c5019039acab56d25a6a974fe23cc
COMMIT: 7d58d6832ca4304f5040e62a86f187655dc2011a
COMMIT: 990ce2546bb40fc51f026f8e18268d97abb0aa8b
COMMIT: e633adfbfff47a66b8d1e2d1391bc921794045a8
COMMIT: 3e9afe667c2f9a52d77ecb82acfd968eae94f1ed
COMMIT: 992f2b51bf539e5bf04c14606e97c237b740c0ef
COMMIT: 6ed6e4f9fa7cbeb113475805e8bed99e689de2e8
COMMIT: 3f19b2362105af13c45347674c17c197e532aa15
COMMIT: 2396c05a72dd974c34c9a6de4f11a3c51a65e20c
COMMIT: 3742be32eb044045588449ccfa7297870a18799f
COMMIT: 783d226afba29d54795d966b9b228c70232a7b31
COMMIT: 74d4d13ad0fd7bc7328e1df428af49441b3c1a47
COMMIT: 28ccd741cabc3f62aadb698275fc76df3cd8c960
COMMIT: 6741cc9db9d3c7977383059600cddb78c2609ace
COMMIT: 705eafb1c6e5524a51600716504098110886acfc
COMMIT: 2ae6b466998194f7e9cc331f43b849ae7c368dc4
COMMIT: 81a343fc6ee8979c000bbb3699caf42bc90a0f4c
COMMIT: 2fe61dad541713937487cf1a3c561f36daa669b9
COMMIT: ceb9592e20b4d1e68c74870cc8e610522cefad06
COMMIT: c35f4fc06fd52d0ad8e7346f56687f56880a53fb
COMMIT: e29be589e895b8bff5a483590b7e1cae690b1701
COMMIT: 6595102934f458be10c03d79fadcafe9dde8470c
COMMIT: ec90c03670093b93d8267f89d66a118940b32618
COMMIT: 519ce7c1097b293b2a410d00fc5112f01811b133
COMMIT: 6fd4f35212dbaa4995572632379b4fca278716e0
COMMIT: eac11252bdf1536005fe6a014dfbf5fadf1b3562
COMMIT: 516aeb0e6337710ea6845c12f35028fc83aa4429
COMMIT: 72760cadb6983b15bca87999eda885c951cc5f1c
