Utility to process github logs
Going to process projects/top_C++/fr_public/all_log_nomerge_function.txt 
---------- fr_public ------------

COMMIT: a22c446f5a09baf468349657d8cc360e93de3d2b
COMMIT: 2a43b7a3bd9d35043b76e48d77b05b3a2bf34c3b
COMMIT: 02b287969cc7da78cd5a046f139133e520bc50fc
COMMIT: 5a752c30a30fc8cdbc91c34c233e0645a720f1a8
COMMIT: ffe1714417de52111928c9b6e8182c3fb4dafbb3
COMMIT: c5c2821bf37cac7a2d6e185b2317c0806ce6b49f
COMMIT: 10487e622ccaeec35effaef02ab2b01a188b4e56
COMMIT: c5cd1a26e06ce9f8854268c0d98416e7c629cc43
COMMIT: 5444a2c29dbe866b1e900a2e2f3727e9e23fee5e
COMMIT: 584f2bb003ae48ace34499eb73700f38bde9dad1
COMMIT: 929bf338a9be8c9a6807f93c1b129a5c6b7b8e80
COMMIT: 2a39bd1170709b67a051fc1a4f53e0a380f039ac
COMMIT: 4ad16ff547fe0d573657b674b67f2bc04db4f47b
COMMIT: 22d9ee31bf34d258f43b4c6a11b684389f255b75
COMMIT: 377a6f0ee2fccec39652708711cb77a895f701d8
COMMIT: c8ff39c2328c21c65a30d96d5f66947fb94b13da
COMMIT: 1a13121cf9b215068da375f5e6618755444a94dc
COMMIT: 9c4b72894aa52844b1f5ab28c0eb7994c3e9fe43
COMMIT: 7e49c9d43316f2129921a861a8c670f3e2bba2f9
COMMIT: b6ced8b5893dc774e6c3a41442a9cf4f4d7147aa
COMMIT: 629c4c36082819dbd1562d2526153968a0269034
COMMIT: 8caed3f87b103276747c6cb0ccbdf05c908e3c93
COMMIT: 01aaf18e9f57f37a9f3d10205d791842e89e9605
COMMIT: 3aa8e7ddfc2254120f8f116f5d14464416b3ffc3
COMMIT: c461bc5974e9f3edbcac94af30c83c1ad08c37bb
COMMIT: 3e5b35f5d3520b055bf47b29cd3561b0b52720d8
COMMIT: faabfbb2ad41bce7d33f33b2d50aa81532b942b5
COMMIT: e6197c7113f3172f932f47bd9c1fd9cf75cad33d
COMMIT: d19b62252ac1bd9c793f70fede5b2d5c98e790e2
COMMIT: d21d5b5805b39d344c0a7b26ec84cec31f7511bf
COMMIT: 403b78fd8fb0d9657c18b1dbad5e03931af799fe
COMMIT: a9d6359cac3d9c12bc1c6854be08f3eed2ded2ef
COMMIT: eb418c4525870f2a61a37cc10dd55b724b6d1fda
COMMIT: e8c957897a80e55b113edd6e4a822f6a4e157db4
COMMIT: f20b1657f3d99e6a0e6af74ed5d16c43cb2ee35c
COMMIT: c3369cf756520847fb8366ac2a17e10e5a8ac0e9
COMMIT: 1765bf27163e9967a9944165e14a61c0dfd93205
COMMIT: c0aaa1f2a345dceba1aca2aebb75cdc55a3a1b40
COMMIT: ad06effa642798407d892201748e31d5c02413c8
COMMIT: 3991209e6c06b7e1749542be1d919d34f6be40a3
COMMIT: 83a97e62754d36ac035fc9bda3e8649bda87647e
COMMIT: 685572d0229b8bc2d7dc64f321b3e66908cef592
COMMIT: d2987b2842d5b07ce49a0cc47101a3566c225f28
COMMIT: c16560a487e953ee1ac812be95de52dc555348ff
COMMIT: e9c3310f214264322a39ffd7fd3e2042e88e48f8
COMMIT: 59b81406aef902d54fd7ffa0ca0ac18da659dcb2
COMMIT: 420ce62a2c5d52a9cc2a986281ea45d505b2c973
COMMIT: c569b6d2cef07e075b9d30c0a1ec9901b33cedd9
COMMIT: 8103569bcab3c6d1ac83bb21f5e176758d759abd
COMMIT: 5cc8bd881513aa0644f5328c61ef8b788252bc35
COMMIT: e89f9e2a319244a923d53fe520996a41b72cbbc2
COMMIT: b505d8497510d011f98e02abb50bdea86c2ee641
COMMIT: 88c29a3cdf40fd20bc9fdd5437343141fcee8bcc
COMMIT: f89cb037da161d5143b3ea63ea959917e9a1cc9c
COMMIT: 5ddf84f8c5c511b59b284911fda17aa6509b7bf4
COMMIT: 53505665bee6188c448a57abc0389125e37183a6
COMMIT: 323132f9030de67a765e8ef508c46423328a8a3c
COMMIT: 71353c0a92844f9db84076debe514a38d9082489
COMMIT: 7744c9ebef5ec4d4179dde40c3594e53ac271d05
COMMIT: 8e51346297cc5af7c5921f774deaabe3565bd1ee
COMMIT: 8132d84fbf5ac84303c4f86b1ee4428d12299ec5
COMMIT: 43dd58fe00de109ec9358372a0bb46a967291bcb
COMMIT: 089c35aae1bd99b048aaf90560a0032ca649ddae
COMMIT: 5663892887cebee5e0ae213165f9f57ad9b3f09d
COMMIT: 4a9afbf82304be8005c09943b9f545914d51c280
COMMIT: 5d4f081a4d946bb44744c2d10e7fdcd3f668971a
COMMIT: 2707a07c0af0ba6b4213df247b6c456efe16de66
COMMIT: 7c6d56c9124d6b5e7d3126b797af89e15b8ae634
COMMIT: 649ea98a1a32a96303e53597c0af60c7af87faa7
COMMIT: 4d473735ca06e1f6cbae81c85e5ae890d9a65c2f
COMMIT: 17b8b79d59785ceb9c29bcd991d2895e18c70349
COMMIT: c605232bbdf1837b6a71eea017ac64871251fed6
COMMIT: a047aff64b65bbfc7f31b9b16b59bee387e3d643
COMMIT: b04d9b5d8ec736a528e046c5d7b25a1e986aeaa5
COMMIT: c46c5bb548e7427b5fa10467e2df1dbad97b405a
COMMIT: da8e5cb032f18b2968ec5417574fcb965e7c626f
COMMIT: 4bfa76c94e22cfae78f954acee1d81f68c6a8755
COMMIT: 1d13324af2596c47c38ad0a9f02244c22c854e6e
COMMIT: ebd813b96ad0ca8a5c919ddd8ea3eadcb216bcaa
COMMIT: ac7742d9480ae4123173a571fd46cc7bf62dcaeb
COMMIT: 0a3d41c160eea3eb1ecd28faad3fee859059a6b8
COMMIT: 1829c804028057204910bc62b6499ea963a2408c
Match patches:  1561
MisMatch patches:  100
!! Done
Project: projects/top_C++/fr_public
Start time: 2015-11-18 23:29:48.345253
End time: 2015-11-18 23:31:33.953024
Process time: 0:01:45.607771
