Utility to process github logs
Going to process projects/top_C++/TrinityCore/all_log_nomerge_function.txt 
---------- TrinityCore ------------

COMMIT: eabec73d98d6885c24dbabc9fe10f64fdd290adc
COMMIT: 106c54cf25d2f5e25b170d0f0accc617bd82d676
COMMIT: 0c0dc2fdb90cd83e669967fac1b599e5459104b3
COMMIT: cb7668ab5af4bcec48dee407a53424b87f12c081
COMMIT: 9de1d431322ce45fb5283baade3fbd36865f0cdb
COMMIT: 111bbb3620093f7db9bb94c37fcbc97c0a45c4c3
COMMIT: 41d9364b164aca67d66134a565890d2f8d49fbd0
COMMIT: b48879ab7947b3910fb18d842cf05fcba8b5a5a2
COMMIT: 2878b0d1051ed01f9ff024828ed409f0db25cdc7
COMMIT: 3ac4e3033cb0f8b33554dcfbd29a2cf5d94a19bf
COMMIT: c6bf7e0b1d615a22c2145c6f4a757a10a9eca92c
COMMIT: 719a00e926e6187e816440e97dfc0d8ede0812b8
COMMIT: d0e66932668bcae08e8d5f960a0175b4d16c7371
COMMIT: b6bf83589c7000a9d327009a01d9a22ba4bc6df8
COMMIT: 99e04ddaf6b5c7a6634dcef21417ecf369bac081
COMMIT: 24ef7dbdf4b76d312cb1df44958c6ccc79bf75f4
