Utility to process github logs
Going to process projects/top_C++/openh264/all_log_nomerge_function.txt 
---------- openh264 ------------

COMMIT: fc6ea7e5a8d65a5b1c56d84fe7204b6983cb6a7d
COMMIT: c02d9b0865e7c8eacefe55bb6a4142a0f12af2ba
COMMIT: f594d96a517e627aef8ee9580746eb52dfc47e4f
COMMIT: 1518b5da5861959bbc693026833878a33949cbab
COMMIT: 8e35224134f68bee78aa8c0e25a47413bb930ad3
COMMIT: ea06cbe06b18b059cf14dae97a9e32c68a380132
COMMIT: a4ae5e3747468e6e74bb676d0379af4f3afe376b
COMMIT: 76ef30dc82a84ac8e9ba64fac429706ef0f49852
COMMIT: 900a90892918acb190c85a8914d71055de93be35
COMMIT: e48585236e0fed62f35d3715d4aedf133a0a8a62
COMMIT: 5c3c2a569cdaf90303c15e2b3abcb8ac4b635bc2
COMMIT: aa1ec23ecd77adcc8fe619c6710b0305bd602564
COMMIT: 207082e23757a8d382ff723e1ffbbb93b206021c
COMMIT: e8b68d2460b8c9122c0c711ee06b4c18feefffd6
COMMIT: ce14a0e4f9ea77947701a1fb6e594a88d545c33f
COMMIT: b719c3b0d5872fbfbcd962c299fd51f9164671a3
COMMIT: 3422d3b976c1d0d9f87ee7bf1ec2d17d629108aa
COMMIT: 01b74ea7c1b8deba1fe2f8ecbc3a4d4e9afeab48
COMMIT: 50dc4757e4f59a2407932aff111793a4c026c82b
COMMIT: ba314d16e7845b5c24be053ef6d8255e4ce86e14
COMMIT: e3e5208509d0fdf51ef743c9f26ebea3379251c4
COMMIT: 81805ab23d181a662d3e94405ba495b8a52a3abb
COMMIT: a53dc467f61e2e5fc836bae135c85384a01d82aa
COMMIT: dc86cfe5d802086b71f06ca09c6837f93f585165
COMMIT: b12b39a47b691f6800fa93a879939b36122fe983
COMMIT: 7ee00b0618bd6b4ef7fcba60c4d96c22d39c7c1d
COMMIT: 6050bf89f6410722f78a80dcc92963f9041182d2
COMMIT: 586893ca4bf51575c2f725e0b6900a846443f15b
COMMIT: 00a2dc290c4172a691414370326f3390ccd0b8d9
COMMIT: 9c0bbeb4da4b1be48223f4c08d99339fab9a1f3b
COMMIT: 0babd8d7ab569ab4bfd635ac26b4039a6b333e49
COMMIT: 13f6ff59ccfec2689bb734c72803b5771f1c88f4
COMMIT: 8b7be9f3bcff71e785ec54478a2ec4adf23fbbf2
COMMIT: 8de54078d73e160a877d8661f275dbc105a893ab
COMMIT: 328094acfd38f1c87730d6473bf66b7ddabbacad
COMMIT: cf6450b269b72d0efeeeac9e1a56a414e011b1dc
COMMIT: 2e4fd4248a84fd9ef17f404c183a00fccee9a2d9
COMMIT: bdbda13929c7eb3c058baea216b93d6f394e3135
COMMIT: eb8e25a038594cd79b8b06a8efa65c6052282ccf
COMMIT: e3bf63db59af2a04e6c550e46f3a5de6814e3dcc
COMMIT: 887b4f47fca8bb13eb7075803fa227fa65383459
COMMIT: 7411469e1d1abb8d6ad1eeda136a9ca08d51cda8
COMMIT: 3ae2507c994c2a928589e7956a92b018eebce8d2
COMMIT: 8bfeae27a4cbca63014dca4f6f5e49399335ce92
COMMIT: 4fb442a983384c29f7768b6ec0d8464ab5f61769
COMMIT: b8ce2eb40e787624d0e8eb066967e40aadbb1bc9
COMMIT: e6134b5972005a9764c5766adeb178474c81556e
COMMIT: 208400eeb4dafd0b240615a7f8298549248d8f58
COMMIT: 1b26bd4b88bca28c502ec5887a53bc873d075925
COMMIT: 3c08f04993e7f73073de88554ed6227067fa7783
COMMIT: 9f0ed3fc4bb7ae79194b57563f9caa0795ba718d
COMMIT: 490a3e55625c8aba9b612250b2c948371577db49
COMMIT: 590eef6059091b16ee80a9dc70cca6104567d0c8
COMMIT: f89780ddd81c0df76f199cf328bd86b4d4cef5a0
COMMIT: 4746ce8fd4929b2f99031d9184a4517676d6eec9
COMMIT: 47df411b1a8c0bbc2007a3038f186f7d90f1c5df
COMMIT: f4b372497678d3c9402410e96c721a49576d4732
COMMIT: 59fefbe7c712a77b88f09d3844becc193f374e69
COMMIT: a9c2e1b431ed113da603855c7baf419fbe9c44e6
COMMIT: 0612b07a6fe07df9e81f01b24b98c1b0dcc2aef2
COMMIT: 89f78e92112b3b7cd5a867008f672c01f41bace6
COMMIT: fdb938a2c2a578d789f5c4452d916fae4567225d
COMMIT: b932547fe8c7c9c9ebcd4c7ad7bad9314d283ed4
COMMIT: 026ce4030a9d29454ef2829096d07bb10cbef901
COMMIT: 173ec608ff0f21f4b67c88cecf153b2df158bf43
COMMIT: ca2436bb5e11655f64fb546f5273b787da537eea
COMMIT: 91736e85e8fc4a0606a506c3475c2cbc83a47dd7
COMMIT: 54cc3daaa72ca7b688f581d88c0dd886d5c18fd7
COMMIT: 57043d16ad069bda72a555b84166510bcbd0636a
COMMIT: ac061fe635ebe164fa7582577c1bd110a117331e
COMMIT: c20e1c6795b4159bfa17fca1fc5735b08dfa9256
COMMIT: 5ab5fe155bc718a8d9998b4a0ab10263f32d4181
COMMIT: ad38cfe46c365d815e6aa41557a5943a33b680c2
COMMIT: 984497cc09de694dea32de2ce8ec6cef85193f1b
COMMIT: 06c251fa484210339340cca6286becd3312395dd
COMMIT: 1bdf00ddf4504d85cd98b25feb78890af6e8f406
COMMIT: 2e85e3c7d98811f1fea4ea617a55b23813a428dd
COMMIT: f1a7a1a96607bf54e8dd328f3859b420e24cea83
COMMIT: 3e57fdc448656d6e7906cdc0fb069e7e71d6d64c
COMMIT: d20a3bdb285206312ae67c6c4874b0cca737530c
COMMIT: 32d6193f97851b115ec620854948226df950ca55
COMMIT: 5ba9e409baca00fe83274e19233ae1859b68d5a3
COMMIT: 2c468b96a9a1e669bd295c5f5b8d2acf6399d81e
COMMIT: ecc8ae6ebba6bb22d19ee905e22fc7fbeb25f2c7
COMMIT: 7da17b5abd055d661047a0de7eeb148d942c807b
COMMIT: 87c83c0d36862750778470acf5965cc870d2d92d
COMMIT: b65410ebdbc393d84f6a9c86f80e3e2bbd47ae51
COMMIT: 354eee3e2b5eedafbe269440fcc5315ff0af956e
COMMIT: e47a3638af7ca9862b68558d1434ec96ef264b54
COMMIT: 14eeaf22786f1547d5d89161710a86f3351da7f4
COMMIT: 901a599b360bafe30da9663c5bfe3d923ed5a026
COMMIT: 317ac1ca85a876da28084d9fefbd94c646033318
COMMIT: 56c895ffb44fa95889b7630b52ebd71d90cfb764
COMMIT: c01606c28a7126bc8058c4095ac6869cd8b2a287
COMMIT: fc895c13ceb0ffc533458c10d8e03821466a6b14
COMMIT: 928a7eac2aa03e085da007626a3526ccfc49ce13
COMMIT: 5d4eb63d5279c924e84dab657f2f9896f1b6eef3
COMMIT: 6981aec7432b64b189de50a97e52946128190786
COMMIT: 8b9be2b3dc0017bc584d2cf0b2d88604e382e808
COMMIT: f668e1be98d7614213f3de462066b104fbda8819
COMMIT: b1dccaa6272586f11154d44b129ce84e90de77cb
COMMIT: a100fb80311e59d63eaa44c3eee68dee6da724e5
COMMIT: d58f90947c58a84bc6c6b9ae047bc873584f64ea
COMMIT: 8028fe7130e55b0815cdefdaa811cb69bac7376e
COMMIT: 30820fd8b5cc428b1703cbd9a09a02fae622b0f6
COMMIT: 7cea82bdf84a5d4d7d82ea1659bd7770e98db679
COMMIT: 0bae0f869a1f2aa11dc75fedac5bb36a94a87d46
COMMIT: 24cd934ba95bed942f56dd5b864b205d179f797d
COMMIT: 90eee67eb73b991ba67f09c5f0c0c9362a5ae11e
COMMIT: b9dc310857cff18655e38776ebcf5d4044d1ad6b
COMMIT: 504cabf1065afd0f306deb3f78996cd4b6ef5562
COMMIT: 917d41bd47217d890cb3414d65477cafa9f2f332
COMMIT: 7c0369da239abcbceba5bce857055f99e8d89329
COMMIT: 92bc88eacb6a7acc28963e60349860db0125221e
COMMIT: 80ce939d7ac8729c78ac0a4fd9227da28355c434
COMMIT: a43fa3aec23b82eb501f7c383fbaa6d9ece63d00
COMMIT: aa5e7f7927a3c023fb34d2a268b0b3b86f1d1421
COMMIT: 2e5243e5fcc89f7301f69af4ac03dd889390523d
COMMIT: 4a6de5bb1385056b6a66ed41b750ebc9e260175d
COMMIT: 347e4893a9ae9470bfd9fa181f579c66acd1553c
COMMIT: 94dde141fa89b7d617e9d76a0d38c120b293aafb
COMMIT: 1ff9de36ceebaf4fae51ebba0e780cb986f5fe9c
COMMIT: d543ae89db1159f19fdda3da05a304a56950fa94
COMMIT: 29da6a600afff1a5fdb619e01c7166fcfad84cc9
COMMIT: cef85118b54273d951479565f1e63effd6b8ae9c
COMMIT: 9425c2ab10acf5c526c96af4c3209c6355c5f756
COMMIT: 3be7e9022185816ef384343fcc06126e92afd350
COMMIT: b231e3f00006240dbc45725f9f93a5ab17d705c9
COMMIT: 3025c58a67078e909ebc0ac79df5e8d768690707
COMMIT: 7175d3c90e63d2c5adc87a92ed3625fcd5d5e1a4
COMMIT: cdd410ca66831751b6d23d7759c53c2b3e6e7fd3
COMMIT: 0b2c82d92b28fbda54401044b0374b0bbaeafa3b
COMMIT: 810b9770fcf4601b14c354cafd029a3965c7a624
COMMIT: b18e9059463464fa3a99aadea57dd2c3acbe65ac
COMMIT: 7e24efc620a457ff74d5724b29b9f352c55b1468
COMMIT: 02853a9a9603c855e84ea2605e20b52c9b76a738
COMMIT: deefdcee10876296872f752e9e239226189b4f97
COMMIT: 45c322a8aec3e5498461a784f243bd5587bc0e55
COMMIT: 9ec743c1564402517aa1e8cd1889331090a71172
COMMIT: 0d16fd61b28fa19a460dc4c85148551c875c04b8
COMMIT: b56b8725fc0928f5295d2a38776766c7e60c0fad
COMMIT: 245367696019c118c756a99bcfc15faf6f773437
COMMIT: 66165a65d5e204ca8db31220aa7e3523d79b569a
COMMIT: e4f114e006dd08d9d1a47c0588e4c21e61072f3e
COMMIT: 2527cf5d0b98f18bbee3d25d2ce99b40ddd52958
