Utility to process github logs
Going to process projects/top_C/libgdx/all_log_nomerge_function.txt 
---------- libgdx ------------

COMMIT: bdbac64613aec1999063a32a47d3e6389a20e2ae
COMMIT: 787dac5496f4e9c04ac134f98b5a3e75ece9095c
COMMIT: 973a53de7e2f41c849fd4f82d4d00e43cdeb7b04
COMMIT: d9d4397aaf6fd4cb4bfa2447c8b69ed952b07c57
COMMIT: 769d4c4fb20be28efedf713633f51d7e6c6bd1bd
COMMIT: 4fac29aef94e3afafdd47d71e60faf256fa171b0
COMMIT: af76d758e3adcff5606dd55c424dbdd2d1de2e36
COMMIT: 93ee035645725da08fa0935a85b79fb11d4db50f
COMMIT: c322addd9e0c37eb199b1f43b5d4c07eddd524fe
COMMIT: 7ab500fb4a36070b991432e38dd63911c08a33d6
COMMIT: 5ae33c726f1b6868714b2e897608c077d32089ed
COMMIT: 82682e49c4dd499c042de7229ffe48bdf2dd8374
COMMIT: 273e3a73c09e02623346ae340d607b6e08924b7d
COMMIT: 440cd131cc05b3bf4c1bd6d23916f70d9cf16401
COMMIT: e366be058ae87057ab643443538bdd387cd7b6d6
COMMIT: 3e6b4735f1612394c33b0295212dbcae9c6610d6
COMMIT: 076c311389febc6845ba4ca4473aaa6c1ab3e814
COMMIT: b40d8926b30fd4c74b7192dfb665c5f02d261ff8
COMMIT: 5963d3c3d69b3938043146456f9cd76136e1ef96
COMMIT: 426c41656d5c1ed248ac6b75eca7f2bed151058b
COMMIT: 832817ea7798cca55e0df7b68d3207fb59ad0d8a
COMMIT: 532ffd3407a0616e2dce5cf26febf1b55d2629bb
COMMIT: 5214a498e13cb7528f8b4cde4c734a9657db1e3c
COMMIT: 4970f1690e966f41f29899cb176211b6bfb473d7
COMMIT: 7f0323d74f68eb806824f3a2d15570dba36a2404
COMMIT: 0480adbc89d9021eb5f844a4fe387a5548e4e2f4
COMMIT: cb849d0cac22c2a94f1eec9a9ee38a7aa3b49629
COMMIT: 465ba12f7643412464fb79ab6b2b620a27bb57f0
COMMIT: 37ca614e4d8bf6eb48bf18cf04308ce6218d5d8a
COMMIT: e5ab554a53e419e8e56f655af7cf329956a1352f
COMMIT: 4eaab9a932f8dcff1675f69241b5544cd8a7d935
COMMIT: 08aee960258b0069a08754befb89ffbb57d807fc
COMMIT: 83192ece209ea8181d1b270adb6e9d1c96bf4b2e
COMMIT: 86b19ba07c8e764c570aec5ca7025ca928de3d8b
COMMIT: 07b4cd30850665d9b3a5c4a158cc80eed3817795
COMMIT: ba7368f2ff7dad6fad53fe49664e654c987cb100
COMMIT: cbc9eeffcc1859b06877283df63deb2da6317e56
COMMIT: 8dabe22897f77ba5a6a347484712f04ce366f914
COMMIT: 5a00ef9cf12b8cd0c28f5c8d508000b885d3ce6b
COMMIT: 7b3d75b6d91ddef78e62d9973ed4e6664ff946f8
COMMIT: bbc8f01c82d326fefffda1ba38830de1944032c7
COMMIT: 42d919f345d0fb96690b12de366e1ddaf861163e
COMMIT: 011390c87d0b8acf4bd2ed38b1fe8cc924b9252d
COMMIT: 9eac20f0b93147020acc3291778a4fb86d782faa
COMMIT: a126fc00ca0f63ef84be554231786e58a25e6476
COMMIT: 5d15475a138ebfc7159aee68096cb1b467e1317a
COMMIT: cb1bda5a90eef4cf6df55f023b5918377662654c
COMMIT: 9f6d9a606ed9ea4843ae0a5b78e6a633261d1766
COMMIT: 6768b65c34403b07245ecfab903bdd02452fa59d
COMMIT: c021a14aa879ec51fe0391093ddfad5c2b96a1ff
COMMIT: 25b922c150765fc868896b78ff6a31cf1fc181fb
COMMIT: b7620cfd73058179df86f912cd6560010f2787c6
COMMIT: ba12d714e49f16ecf14bcdd95093f2dad1f52495
COMMIT: df34df5ec0ef5574694164d2c94b569a13c20d6d
COMMIT: eea1393b3b312b92dfcff7e57d6acc4cada6961a
COMMIT: 56a137b3ec083eb6afd4ea0486ff6dc32fa4bdbd
COMMIT: b9499b1e6e425debe1a52fd5ffce601f851ecb0c
COMMIT: 41edaa48970e01cabcf75dada6f3203bea2be8bd
COMMIT: 8f0e4b3c1fc1ad6dc45648fc264add2b094340b8
COMMIT: 0e4b82a548c59dca40e8cc863e8a9431b0835a09
COMMIT: 8af4fec87c52d69b40f0350d2c1530cfe57c22db
COMMIT: bd46ea6cefddd0ffefb11eca96334390bcd226a5
COMMIT: 71d8518a983d53763c8793abfd4d57559551bf39
COMMIT: 1a6e724cb7dc1f0b7c9cbb2b55d17c0390654aaf
COMMIT: 18812cdf61fb3c1e49209b55c70c6d705e6684e2
COMMIT: c8af810a3d0ebf9200156f81aef2c15cb886aa1a
COMMIT: ec82a480a44e9214ba32526dedd1fe769807f625
COMMIT: dc9691ddaee4987b68d56de1615d650336a170ae
COMMIT: 1e847b071da4e7c12159e437b60ce8fc0506fad0
COMMIT: f74313e926ddc3840163d639036b995c02602dad
COMMIT: ae6a87b395c9b9aa8760234441d08dcb65e5e682
COMMIT: 1720c057e66d89f72cb87997030f122f1fb24e03
COMMIT: dbd12192cf244844a1ca07202b4e5b9926edd300
COMMIT: c0e55fc33fdcbd986a8b8850ed89e51cc8051b79
COMMIT: fe6fbf98b61eeabff7ba8895a4f4aa102f2f5c55
COMMIT: 1fa91c964acad461e23549f0dc728d14850abb60
COMMIT: 91e4062eb6048b303f8bba9f48ff9f4b34dfc918
COMMIT: edcc72580064c79537e59ebe9fd071371bb28db5
COMMIT: 837080d254182865943fab2a7e9eee8a9a3c5591
COMMIT: 48f82b2349304bcd05e5d00f07946fd59135ca78
COMMIT: fdad7b7d6aadb2eb41944c964fb2f02fce354586
COMMIT: 2c29131c46d91f9e813f76df96ac168ab7155650
COMMIT: 497df197bb0f4400447116cb011d5b432c899d80
COMMIT: 0163fb14195573ccdeb114d935b42bb9c4a803e1
COMMIT: 0368842a890db4c25411224f7f8708eb44336e91
COMMIT: 10a3ddda01ff9ddf3b9760a562a7a368c74b5101
