Utility to process github logs
Going to process projects/top_C/openFrameworks/all_log_nomerge_function.txt 
---------- openFrameworks ------------

COMMIT: c3072a1c2f8b6ef54ff2b69827e84f9a5401605f
COMMIT: 983f746e3da52fa1f7c2449198f5f8acb44d18bd
COMMIT: 511c5b34c1333fa497d736790fac6aa0af35a3e6
COMMIT: f7d1aea735368d458a21a739e11db97c44208396
COMMIT: dd636a6cda1bc731ac477a733f8484d8a210b99d
COMMIT: da87161420fe6e729f6c958c4142fa00644740f5
COMMIT: 6ee52b664be2d370b3d8804ca6acb1ad9f9cb504
COMMIT: 3f816713e82a7e6079a02acf1e22bee28b480070
COMMIT: 1296ac7eb639b2e25ba5059ae841fcf5a306f6f1
COMMIT: 2f0202289d1a0e9874c8f3085023e694935d54f8
COMMIT: 41048de13c8f8ae4cceb771765408f583b46ca50
COMMIT: 4313b3c60a4914e60ab573ba487cb84fd79e3bd2
COMMIT: b8978e01ee4883c4c90b736781c3c66ae54663b2
COMMIT: c32845cd9bf6f404786f6f5103a3be8526af000a
COMMIT: c4a19d28c515c5ee92180961cc6d2cf50ec2e0cd
COMMIT: bc2ab240a83f05d59106fd3f55974f890441b9d8
COMMIT: eab59d7a11cf60d93111a10789231338397d3007
COMMIT: aa59960b678239a714569428b9c7b4287c21a79d
COMMIT: fc9879a917a26935eee4e4c3cf1c17acbff48dd4
COMMIT: b67be10729224eb97f3ca23f7be7998c014f48cb
COMMIT: 85356e763d039f1f9b71dac72296bf02b22055e9
COMMIT: 309b85d45cb9f194ca5b59819158120f0ed8f2f1
COMMIT: 61932bb1f70abc9059e7dab9fb9a1b4d6442e7ac
COMMIT: 55e181e23ff5b312053513fe725413ebf021d86a
COMMIT: 24e857390d212fd830ed700210d9e9d6c383a03e
COMMIT: ff5f71af17972f5875c077f871a3ad08ae2d8b78
COMMIT: f510e37a729db38afbffa633a3c6a7ee75eb4b43
COMMIT: f0b67d9d00ef7b8bf4e51b270dabb690a3ff1964
