Utility to process github logs
Going to process projects/top_C++/pdf2htmlEX/all_log_nomerge_function.txt 
---------- pdf2htmlEX ------------

COMMIT: be689f369f0bd0ad46b37fcc6884fd1ab7e13c0b
COMMIT: 8c4e14b1fa7bda708f133bf4c6e8f560dc99fe5d
COMMIT: fdcf9e634c32020cb29c6f79291029fd6e5a6dee
COMMIT: ea4fb47f04e3789763fa4d1a18edd846429d45e3
COMMIT: 2d1b810c4e6a89a5d9a6acfe6cba7d1379be3ad9
COMMIT: e45a49d40e20928ebdd41e0556faa869091332a7
COMMIT: d78a4b4154521d68bb26b47227148fa82cecb0d9
COMMIT: f04941bed002be4f9b1a34e8940c1f35b07dc00e
COMMIT: dd9d21cb198f81abfd40e630f9a38cc33a3d1592
COMMIT: bcadc6be6a41b99ca4ca2dfe90ae518d136559ca
COMMIT: 51499dcff03962627bc09ca96c890df995e0bfb0
COMMIT: 261aba67c3547c02c441b7f3d03210d5476a86b3
COMMIT: 827b0aa33be60af9f6e0b480fffeec6d1da291d3
COMMIT: 14815eb6661f11bd7b3e1955c04e4407e808fa6d
COMMIT: 99102fb90c377d789a73509d774c8c3f16e368c2
COMMIT: f45e4e1c36f1caaa8e39f3ecd0cb0996ed0dbc2b
COMMIT: ccfe509e57decac42eec4bdf7145765781ba1619
COMMIT: 7534466d75526c07d98675bc0a0c64d0ff24b2d0
COMMIT: 4859a748197d518b70c112db40ac66d27496475f
COMMIT: 43c330f9b7b6d325b3df462ee4778a6cf795a03f
COMMIT: 4ce7fa3400fd72f06264ea0348d04c80bf1e98a5
COMMIT: 0044e9b17c0ade1e98093cda2016e0260995bcc4
COMMIT: 136991135dd39a8b4e9be26d10a37f4b9cc040cc
COMMIT: 92274d250272dfb826aa9efd0dd57237fc2b5a74
COMMIT: 17c351c810f4f41bdb9910b6d0c1d7040f3e3855
COMMIT: 132478c1c1b9e6704a6061b8409c73f3ac1db17e
COMMIT: 1fc70273959c956ab410166dda673561613cf691
COMMIT: 50d261867a72bf2069844f550e2e87974ea7d916
COMMIT: fcea225f36d821d122345189f5ecc4b2a876d024
COMMIT: 29ba79a378a8835967cb1d657e77237efe4638e4
COMMIT: 6d135d7fc0b95c793f314ac005421f5e4b127850
COMMIT: fe96b572efe070691bdbcf58024dc6507f2cbd7e
COMMIT: 47267669ce93edc58919379e6436ad7088677a31
COMMIT: dd41565c3c69b0ea07f428829fd61c957fd6fb32
COMMIT: a59c6a8865ee25e415c0711d2d280c3e781ae134
COMMIT: 92454a98835f77e8a272851e19bcb9b97f6111a7
COMMIT: de26cf056e7ce6a63bcedce460bb982cf3ae3379
COMMIT: 57a687ccf86465eb4323e43df9f34f63481afaf5
COMMIT: 7c12b228c2451c388ae9f4b6be7e2d08c5a84dbd
COMMIT: c1104cb00f13707e6d450c9f2f0dbb34c74d91b3
COMMIT: 6ff5b8be327f4f11197fc69c58cfdb09e7338ce4
COMMIT: 12f2b974457857f1287b1e2c1c9e15c79a9c361c
COMMIT: 769f081609f7c3e6b594c242fe5da104df08381a
COMMIT: daece48bd7230e34f26d4b39186b88eb0952fe65
COMMIT: a82996eeb7275d7e7a1b6e3630df8bac44b5c8cf
