Utility to process github logs
Going to process projects/top_C/numpy/all_log_nomerge_function.txt 
---------- numpy ------------

COMMIT: a7802ce227ac8e99286694afb8f0270281d0d32d
COMMIT: 7dc79a7887730606be1936cc3d3230d21b7e6f2e
COMMIT: e3e82e50b6340f8784baf28090a81878979e489a
COMMIT: c7fae327a79b95671833e641612ca87e1d6a6b48
COMMIT: 66a0441ae70ba4c6da272ee7bd7c8c9a2ba74656
COMMIT: e5a7d585286fedec032cf6fbecfca2a44156bbdc
COMMIT: 8bf9a18f68a36f81bbd27ce52af65ca3cfd217fd
COMMIT: 8dd2e475e4ac51af75de31ea9608dbf2bca2b835
COMMIT: e50e17cccc38b6be5808aaf46fe1053803cc1578
COMMIT: 0c6fd4875acc733165ca71301c661535aaebed93
COMMIT: 2d9aa59f430177e0c77934b3d5bce477e6ce2739
COMMIT: 44877b36870ec2a0505c536a30b9fbf06a414c17
COMMIT: c85dd45b42d2ea485345ca3a0f24d8c149705cc2
COMMIT: 0be73e01eab8716fdb890210f2be8406c224881e
COMMIT: 457ab0bba16562699251e5d72d0ab9255b2a19b7
COMMIT: 2f550591567b6643c7e7d0c897683f8319032ed1
COMMIT: d72dd18dffceda6a3658479e9265c899b02e8843
COMMIT: e7a837086e2cf304deff43c5eaf06132de2608a5
COMMIT: 0cf6dcf245ccd68b82f82e6b5f00f5a97a874651
COMMIT: eba3c4bc1470eeda558745c6a18cee3365975807
COMMIT: 9c1d5538b5bf8682b82f0290615d3e9d7f97d746
COMMIT: 2079469b151fa4719fdce10d4324497aad45ded5
COMMIT: 93feabba42a6c18a66224dae170ecee08e0f10f9
COMMIT: 41396c415529a0d862fa292c3e46a6f3d660a1a6
COMMIT: a3919717c47070bc8a245ffa61b3a75dd7d5d879
COMMIT: 175cea4dc0590ae520f32476ffb9129b8524bcad
COMMIT: 00a33398b35541cf347fe76f844ee64be9e1d37b
COMMIT: 596dd845b9c451c443c0e9f7a64c7932b205d1ca
COMMIT: 7530e9ed4ef8f22fbf64f712f65e9eb20c249199
COMMIT: 9e93c073fd949566f96561047112e052616be504
COMMIT: 7c6fd583a0a13649f3cdca3b0959ed1fdb4e85bf
COMMIT: 606ac22ab1a4357758b8c9b44b17b2dd0d04bd70
COMMIT: 11fe65ce02db95dd81c8e3671bfab963daa53a3f
COMMIT: bbb7c3fbcdc2ddfcf79317661be2b99b1f6617e3
COMMIT: c81fd7d016f58005631fb1c364668b04477e6b0b
COMMIT: 3f0cb83f128f3bc61ff9eae2ff5bdc882c922a93
COMMIT: d43cd21a30bd60b53666290a992347b12e626b7f
COMMIT: 91369d30a13dcc6484f27195d73e6ea9ba2edd2d
COMMIT: e04e79ae2cef411ff0ae26ca6089a5ac4f249021
COMMIT: 5941fc9d9f15cd773b6c3989091a4b7ef96a1c30
COMMIT: 16f39c80f69ae4695f2f940ccdff8b26db3a2a01
COMMIT: 4008bb41414184d875af4f733a3ff3d303b94a4a
COMMIT: fcce0274a683add16a76e1b41288796a27682f9a
COMMIT: c09d0ce0e11c94a83413c1bc6c9b2f5f40008a5a
COMMIT: cd062f584e66b140a37367dd5f32c9d1f8c88dec
COMMIT: 5b86b763aa8381fa875820fe02f9e2293db47c23
COMMIT: 7ee56eb6f5cf60a4a1910faf0f1d4c494eefedfc
COMMIT: f8ce5d1b3f323ab2d3568bacf145055a6cfa21ad
COMMIT: 8915b33990f5780524ea1b98932fd5146d9d1de0
COMMIT: a824fc2852df874b6db119c734998e339ef66e5a
COMMIT: 1616767ac632646db4b8ec5b900630f365023665
COMMIT: 4352957bedfd360e8501cf47ac7fee7944d43a47
COMMIT: 0d744c4ca3dd96dfe3c97df0c93ab1924d365335
COMMIT: d4a4e99b6972adc61f1b4579e2b88818e14eae05
