Utility to process github logs
Going to process projects/top_C/cocos2d-x/all_log_nomerge_function.txt 
---------- cocos2d-x ------------

COMMIT: c14341f2112e73caa15745b3f28e6e018665f742
COMMIT: d287ad0461cfc706e114832373e0fc1191ddb5dd
COMMIT: da601104caabf4c6e87c64de4769e2b28801e9d0
COMMIT: d9bcad7d4b462c426258488f8d948159dfda2897
COMMIT: f8369fa8faf7ff278ffb63d8df733f24f2351e56
COMMIT: 83938041aef00fd3ab44183ea8c23fec0b606e34
COMMIT: fa9ca76324add4c0cf63efdd67f5c8729e21afe1
COMMIT: b6df8d30835fae4f35e7155203ca19d8bde6e681
COMMIT: 4679ba43b3992f2c52de825ebac254422b5a040e
COMMIT: ff367dfaba07b1bdd8d7a9b7427abc65900b085d
COMMIT: 2398fb433529895c5a25e90b721ad8b5a4954920
COMMIT: b016861634996efefbbe2adcf35eebc26a8bc544
COMMIT: 1fd6b9b8d700635d2d0e2d6d7621e02f7f6f655b
COMMIT: e421cc96cd0629692b5b60b83486488ea613978f
COMMIT: 3b69bcf39174aca422f68a2dd55038faacb57e58
COMMIT: be71bc489acf21830425c9782a84f8c34b9453d7
COMMIT: fcdda344dc72ab675ac191b0f5e833f4610bc47f
COMMIT: 4bb65fcee164a9e9642dd275b42df2fcc72cc2a5
COMMIT: dd5b78a1ee7dfe32a2e19c5158ffade147b524a6
COMMIT: 8d49895d2a79971071a28c9f72c0d02bc1ad7ef6
COMMIT: ed319e9e78a5fbe74dce6482fd94268f9bff174b
COMMIT: 51536cfcb361c579303c7ff41275f59428ae9c3f
COMMIT: 6fc4ab1afab0bc98fa66fee2e966143b510be0cc
COMMIT: 0ff1fb5a47fa4320cccd89a71d50567513b6e07b
COMMIT: 2d1ff5cb8cadda1f4a81a96696c7f764e2b060f9
COMMIT: 0a254b722678e0a734d7d81b674bc57d7a680987
COMMIT: fde301f52e2a437c52b4d65f72bb73925353b86a
COMMIT: 41c130c7af76659ada8fa4a239e63c60a33f7737
COMMIT: 947d1be7f588c83163ef6f7b2bbc2f4a9ef8906e
COMMIT: df08927c57a9509321e4bbcfb1f45d26387db7b5
COMMIT: 171cdf56b0bdac01d0cd53733314c6008cda99fe
COMMIT: 543f5ae2080de6377bd585ffd95756407b5d933e
COMMIT: 8d713ee1438c02d8c65659696f4fea3fa3a1fdf5
COMMIT: c92c52922927f2228116b79f9bc3f2544661d992
COMMIT: 49b907e39ecb0c076359f82a5953673610d83d21
COMMIT: 6e83052b90723aee28637c6d87bd64301072cb08
