Utility to process github logs
Going to process projects/top_C++/node-webkit/all_log_nomerge_function.txt 
---------- node-webkit ------------

COMMIT: 29b67e826b52fac153e04548ef59e5431d61b4ea
COMMIT: bf0a6f22c09648d70fb7d57faed9c75ee28cc196
COMMIT: 56e0242cd085f1feaa48b88b9a089effe11438cc
COMMIT: 44b26b1a9f65d61a33d774d197a849f3b08a02a2
COMMIT: 7585bf434229c67813f6f93ef7c583edf16dda67
COMMIT: e3767a2d765ce4309da25485892f8a8b02719e96
COMMIT: 153ccd8997ad3de018f0036b0b82013b28d000e1
COMMIT: fe6c14373edaac5416821cb16c1f691e0bb9a28c
COMMIT: 6ddf9db563fc484d0770992a202765182203b128
COMMIT: f7e0b6dc50346d336beb736db6dff1dd76a62616
COMMIT: 6d4254d3c0942390989fd759fe94ac8dda12c558
COMMIT: 1c0ff87e1d93577fa5a40abc87563aee363af442
COMMIT: 883af3641fe984cf0ceb9ad41d2297e53715d460
COMMIT: 920fc1b5e54f9b7fa44332728c7ff6f5e4169ac5
COMMIT: 6289cfab7db5d7edad1b3e4e40a160ed19023419
COMMIT: 30b336e331243e80399de41e11e3020bfac1b46d
COMMIT: c6489287530252fa55ed00ba597fc082fc47b468
COMMIT: c388fa5ca196be1207d22a7581def667ad7c1247
COMMIT: c1a25cafa5844be786c6650b0b90ffe12c858f0b
COMMIT: 81cfec63bd94abc2dce33af454317e8cd580a3ea
COMMIT: 86573f91ef05efd0881d28f14f459d4fb7c185d9
COMMIT: 7e29171eceea7db0c4ba1930932b69f7807f0e15
COMMIT: 41a41b42f0d9ca84d7cd8f6341c896972ab5d1c7
COMMIT: 526f2f8a7e3f5926e9d5dc6d601de684a80a23c4
COMMIT: 022ac6022b1849eaf5ae96e99d64b48664a9d6a1
COMMIT: c3ca61b1dbcc802d217b7decfa66c8429ed24f8b
COMMIT: f84e721097d5d71b2bedb0cc1903243d2de054d5
COMMIT: d1dee800e65947fc0610943279a3976ff8c6962c
COMMIT: 4ab12b7cded8c5759698a3bbc9fd072015cdb0c3
COMMIT: 1fd5919e5b60bbfdaf43759b20b8a138867fded8
COMMIT: 90817c0bb3ba833d43d9de0cd321c899bf4a8dde
COMMIT: ac54a982f175774b9e98ec3d31a603fa90bbb90b
COMMIT: 42382d22e93c0c5662e0d56ff8daa49ea0bd1e18
COMMIT: 4a08e1015f875d65c18b089c0d41bb626fa6232f
COMMIT: e6908144218758c88a7f918e2d80344d756e32ab
COMMIT: 9b75ea40e9cbbadd0a283a176fe0acc1e49ed046
COMMIT: 0eebc7c11f3fd656d5a0591bd5fb1a0648b7142c
COMMIT: 2a27c1f52d9584cdea4b26f248a59bfb888cbd6b
COMMIT: 222a43a4b6661df036329a14c44d4d066c9924cd
COMMIT: 8cb53f3b013aa0b3201b96eeeb97acc8cdfe5cb9
COMMIT: 01e3b03da4e8e27c0a0725976efbb3a40cc35ecf
COMMIT: 9a78a03dce9903bdbe3b06cea6e77793ea7bd2be
COMMIT: 5e94e1f22b6260b836aea96e019bf508ce347b19
COMMIT: 11443800e774d92e74e7bc8c7ccdc8ed30fb8821
COMMIT: e4a86aeb74cb8541efe9368ac8a5ca3fd3fe4446
COMMIT: f61a0064c8f9700e8eb0b66bb4160719d1ffe35e
COMMIT: 62c52b3d98f9e24af495962bad71e9d11fe8b3ea
COMMIT: bbe36c88f54fb97df9ff0ca96daf30690d6f2c17
COMMIT: b445a6e9d1b79d73920b1a7e0b5bd010c3a313e5
COMMIT: 18f2a1f0f1be74dac96f47336e223d58099294d2
COMMIT: 309579662c948906bed5397507905331c9450170
COMMIT: 646275d3acf6f2a5bb475993da6fc385679c1424
COMMIT: ed22df540b7b6a78574c66a612965f6b945ded66
COMMIT: 328ee9b0cca0eb57ddf9ce515d58ae24d60c60e5
COMMIT: 518e9249fca9ab27dff65ea193d85e4d722e870b
COMMIT: 6a17131dd606517da7c1cefb057ba493e3bfac80
COMMIT: d3d5136ade4e750e7686e97c781097616fc07bd8
COMMIT: 0338b93f629dfb75f497fc480baf033375320c4a
COMMIT: a3a537bb354f709172e71e7c985d4ac6b8ee1d48
COMMIT: d4d7f14efd1e6bbb527ed45a51a1e0d5cc07249b
COMMIT: ff50e2553401d71d08f3b6c7d019f7e28ef7576a
COMMIT: c1bb17eb47125af81061ccc842a91ecccc6530b1
COMMIT: 194462dffcf399f6d797d2885ed731020e0c7c76
COMMIT: e5630a3b542643dd404e7841c4078a97682de3e5
COMMIT: 18b574a44b131b20e459cbb37269035f76cbeab1
COMMIT: 924298d833e9f857d201ea8c09251584b1a9e2eb
COMMIT: 5511f62aa9c7f630a80f7c7ddf62fdf9634ec381
COMMIT: 97812bfe4e5844b125f342f29d831d44598e5837
COMMIT: 266aee3ae1c7916f896fee8652ca768122f85689
COMMIT: 95c6554cd33909d66b2565d092ae807e4db33945
COMMIT: 0ea2185df08167959fb562d19cc6551eaee6c561
COMMIT: d56cc8ff7b93722587ec65494e142008043f8905
COMMIT: ba5e65c65c6b763204337f1c3c3fd5839cc4683d
COMMIT: 14b2e22e8efe18e04816a46591e3c91fd95806f3
COMMIT: 546af85deac63cf2db768869eefae7c2650c9a38
COMMIT: ddb61d69ecf6be599e448d045d896e6db089556d
COMMIT: eea05f43fc647992961ceaaf7a061087d3a4f578
COMMIT: d48e0795b8f69c24e6fdc1e0a9772daf1c2e8001
COMMIT: 6e48dd5250d4ddeb2d42fd9dcdf11f8a476adadb
COMMIT: eddc2e4849cfe2988330cb4d33d27d7a702324bf
COMMIT: 7015ce3c1a4bfe61ff44965ac5158c79477a3c2b
COMMIT: be5b8da389673db3f20f0cad56f84b8030a8d131
COMMIT: 078ddf70912f002b32b3c69e264cf58b0f462e1a
COMMIT: 47be6bbadcc62ff6909e2b44de52a9d6842a6c16
COMMIT: 03f17be55e7bc64bd2fa9a9ffdf24ce0d0db8c6b
COMMIT: 0c68d70f10324ce1b499ffb7f72e9fb4e8b9c84e
COMMIT: 12419ebb30a9854a97feabc045ca03fd27b04d50
COMMIT: ab6ff3cb4635a1e822d765d606cbf8c74316e8f0
COMMIT: 40486d8a774619776011c143d4b6765cf633f9ca
COMMIT: d9a1fe2f8d10281d2c8c3b2a87b98f6315090fbf
COMMIT: 99e94314ba6bf13828cddea3fc7986c299fc7337
COMMIT: 2ccd9f82691d8286dc7a68934245415688ba1953
COMMIT: 1213d7360d5eec9bacbe74cfea15daa507848553
COMMIT: caced490f1933c95069c5d2a6a8a553b8fdbbaec
COMMIT: 20f2ad70b65273cddbbdb8cf78950f1cb540208d
COMMIT: e243822e384e4cfe0144f09f4d17e49689b6b977
COMMIT: 2380387a07c981e0eca9c4544a9f37f40fe97994
COMMIT: c4c7113b569f4ab800c2c140e01102ef20179d73
COMMIT: d3b9084fa9fd19cfede1de100f571a023ebaf212
COMMIT: a3e2ef0b9972d4329c409915800d5c61c06a7722
COMMIT: f9b6f3f84ac6e1c462d7a0843128fe612aba22c7
COMMIT: 2c5c3527f32c986dbcc2d934eb66c02f19fdbddc
COMMIT: 5521a96ffd6bfbd642dd8398f64beef647380f48
COMMIT: d3fb0da79f72ec8cc23779ed05a30264c78c00cf
COMMIT: 50df8ef05a6a591b1ebc649664552633df6333f2
COMMIT: 545fe0bd2e061308d20f6f9fea0495165eb3b7cf
COMMIT: 2ec10f2170f686c1f1d01a2a0b3b95070a2975ad
COMMIT: 3b9f9767c1bebfc555cddf4d52b27feef71a223b
COMMIT: 26ad78ed0275185ee9cad35a381037ab7777438f
COMMIT: bdd237e8c07a8de6b11410bea349d9f59c949f9b
COMMIT: 860cbada4180b2f3e0fbe56a6bb07b00a70d2b74
COMMIT: 66adb902ea381502fb5a3fb8d510ef7bc7b0b463
COMMIT: 2ee02bf14fdc43e62c26a3b65abf4cf11fbe250c
COMMIT: beb0bad7b79b0153b6aee1d101da3cfb98a44e7a
COMMIT: 103d857ee5e07475f0c95b8e90ab81d928f198ae
COMMIT: 144ac4601725f4f2a459f80fd17e34f309f2148f
COMMIT: a4de9e4fdfb003fb94d0c21f338a6990d4303092
COMMIT: bc2db4fe7629d287b20f1ace4dbd405317490d45
COMMIT: a94a1ba1ead5ad214353b7765ed17fe3ebc0b3ae
COMMIT: 08891af74df80efb42621bc1a37422267e590ce9
COMMIT: ae65193e8c44fbb2a59d23eff2fa635ae556f581
COMMIT: 5ed095dac8298ee6f71eb06bb19b697e1bba5510
COMMIT: f48c832d57816098b9b56e372b9090af0f008832
COMMIT: cca20c9703b3a16644eca8c3fdecd96b2fe0a6aa
COMMIT: 206830e26858bcd8cabbfb0d4ce950607f4889a0
COMMIT: 6039b7efbc5fcdd54d7a114d3d23619fc2b3b99f
COMMIT: 65274383f49be61f760aab9d3f19fb3990a7b52c
COMMIT: 830e1b671aac50b3137666ecfadc0ef6f193c508
COMMIT: edaf550de2ee3015c99d034dc1eaace83be3b0c6
COMMIT: a6c1785de40e2e99699a28f1b8e98045a31d4400
COMMIT: 7b8b32fb045558fca444762d6579434b8c897b18
COMMIT: dff6e53a9e1e8386ca715a98aaa6e4ff8d9efb4c
COMMIT: c38a1c16c4a69fd0faa557c821402d6fb59e0e2f
COMMIT: 5e5f7d135258715d7622471ef34f9971085d57af
COMMIT: 19a11ab160720e5ede6c5ffc2c8d566f8f433703
COMMIT: 0430bacf94651dd5232fd256f2da869f7600aeef
COMMIT: def2409ea1bdb505d111753c266cfd646f438e22
COMMIT: 1f0c9267cdf7fc7a0aadb8a4dcbc5e059e5080b2
COMMIT: 2046a1bfa66d0b6f183f9290a700e2a9bd977f5b
COMMIT: 55da62eaf9947b6637fbd79cc44c83d806077484
COMMIT: 09f1bb88662477c320559e270627caf9b8efb4c3
COMMIT: 50c298c5aaa6bc831ac0d9fee1600b31e237c467
COMMIT: dda22dbe484278e32ed7286de9d8e30a99d03dc8
COMMIT: 651ea296757c61147e53a7aa0fbdc567621308be
COMMIT: 1c4cfcedc4937735b120e6f9dcfc40e5a9e921ea
COMMIT: 32b122c045c238c8c02b1c803db6c683bb36a8b7
COMMIT: baf3975b9011c4430c397ef87ddf157209138d93
COMMIT: 1cb9cc4dec574f272c5a507e9761628709eabdf6
COMMIT: b8c4cad8fcd9d9c22110edb842e469d42c96e841
COMMIT: fe97b9b9048a6faefd155273980f7db3cc87bfd2
COMMIT: cb6d22c78b11f30476fb0fca4c345916032565f7
COMMIT: 0ea0956d5b94bef83683aef78c2202de7550209f
COMMIT: 600505de9ab2ea0e4800eb5b1778de8edf8a48b9
COMMIT: 2c882a0b57c984cb054b6d671185ba3878f9f00b
COMMIT: 846a2de624bb87742d46a843653595fe1599400b
COMMIT: 0f91a20467aa007df1c6d29bac699413acf4cfe4
COMMIT: 6624b08ad6121d00ec966a656236273aedbf90f5
COMMIT: 15fd8c5ff22c7b4ef36f071192f3601668477000
COMMIT: e000d1082397806afe13544c656c93c70c5e5353
COMMIT: 9f1365c558a6d68d175c321f75b8038818a726f0
COMMIT: fdba9400db2f6b7298b683e0be3cadd841acef51
COMMIT: 1a91caadcd7dfe3e2603da71f6dd1250ec92271f
COMMIT: ffa12c94ea8b1b398e257f35c590acd247ff4748
COMMIT: e342d2c6af37f1ed3a58bf72730666a791a014b2
COMMIT: c14509fff04280f195c19a1d42d88b78c32df6c9
COMMIT: cfd9c408bd649166a2f878cb7d6a643b89a6b122
COMMIT: afb921660fe2180e5308640558c81c43dd774284
COMMIT: 884b559312ca44596ae555e7f5024795913a0061
COMMIT: 9e9828b6d91379c2fb799234c317399d7c3ac430
COMMIT: a8189d926ea086d2e670dc839720d3ef37e93afa
COMMIT: 72bfee28daa33bcc1d7311d2cb663fda03e7a8b6
COMMIT: 1995a705f934b925811047711673235e9cd609ab
COMMIT: 4670c3d4019439fff8e818bc9d6cd95268035821
COMMIT: 7fd72da0b2f3254ffd5cb2a339b14a4205a10d1d
COMMIT: 3496ef242c511f182d8258807be9bf64dfb5c61b
COMMIT: 798b7fb94a0b7bc14734b1805d678f4071682889
COMMIT: 9e08a6f429862b931f219bf4a2087b7170346bf6
COMMIT: c93489c2949d8ca56c29d9495796fd4c0e5393d9
COMMIT: b542877a4453c901cda57007ea3859012e75ebd7
COMMIT: 2b7de41f2b644d964cb25ce51c99f2decc782978
COMMIT: d54b25f03c360048817e918339088480647bd968
COMMIT: 95e0b7df919a3ed6c6dc18e568e5b652b08588e8
COMMIT: b875d0964d42dd3fa1d7b419b2589676bfd81053
COMMIT: df3473da61638fdaffd3414020931574ff14d77a
COMMIT: 4c14c6f82c81dc2783f59445f56c63777765ad9e
COMMIT: 0298d5fe182d5916cecd56ce00233ea66766565d
COMMIT: 070cec81a53e6c5788329a7a3271a51b9ad3e223
COMMIT: a7a684f460fb3ba6b3d9d3cf4d7b5e4685cf70f4
COMMIT: bad0e040777ebcadca753c6b0046b8bd9c712348
COMMIT: 8c2cf39680ff2f936c73dcebacf29cc32a1925e3
COMMIT: 45493ecb9f11b9ab3a5737e77c2117282ffc26d1
COMMIT: 707829856838941412c6cf8281b4e6d920a2ac96
COMMIT: 005a97e3efe617c8c5564a6d775dea1dc7909c7e
COMMIT: aec6069063d7edaaa60d69071f5d67c6f9ab8db5
COMMIT: a3baf7d523e9891d757590ae1c6a7fa1e64d01d0
COMMIT: 015acc29ba876ae520d363575427b74d67d8ec67
COMMIT: 6683bf6012db59517cb235ad67197c7ab81cd4fd
COMMIT: f4fa8cf1eca2b8c26fda88c0cf5de3b966ecf558
COMMIT: 98a9b0a28fb32faec9a75f23b3efd47e0ad3818c
COMMIT: 8b1c5343a8c385399d2bc456b29bf5d67250d483
COMMIT: be23406d3f6cbc7228cb28ef776da245a4ac334c
COMMIT: 06866139940b132b3ca05d388639bb96c8194fa5
COMMIT: b871dfa33c23ffe225edc4bf1c533909bfa7e54e
COMMIT: 3a31a1ab121a12edabd5435710f2c6caf41bdf12
COMMIT: db140a924b19736fc27561619648ae56a94e14db
COMMIT: 05945c39e815220ba7a1faeae605321cb2f1d5a7
COMMIT: 794f5d508e90fe7edb0d5bb2c8ec6424e8a292ab
COMMIT: 3edde1f68ee01d417d1ce056b3888a422cdfc060
COMMIT: 389036151a0a1d88d527d2748fadfe55f2231e45
COMMIT: b869b1356c7ab8e10e9d0757bbadc30bf4bc00b7
COMMIT: 6b48b5ea6d5b93aa4976ab520f2154e015b00ef1
COMMIT: a3c4eaaf751fa039999ddbca1ff9c977b9693ab1
COMMIT: 1fe6c282ba911dc1a77222ee746de627c6b38cef
COMMIT: 448e74c8929a26b2533eaecbc99a3e319f34da6e
COMMIT: 2ee8b6d9d38760e7a97b050fe8a961ee997403ca
COMMIT: 1ba4c5ac030dda18a7c9f4b885f2809e5dd7e43f
COMMIT: 48b6357fad4c7ed5b1a33be22915a6c821417c5d
COMMIT: 2345aaaf7a34c30a9789a3d885f97efac07c71f2
COMMIT: 8d336b61d74bbaa39468612a89cc427bf9c07ade
COMMIT: 49a5981d5569098fbbce434945d3c8929cf8a035
COMMIT: 6c4a18b7006f0c793347626336ce71b022aae6d5
COMMIT: 27308485bdaeb6e6a04f62fb4ba9d1dd84fc99af
COMMIT: e12f4973c4277cd5e7763ec44fab2de3a56ecc23
COMMIT: e7d3a58be0047c15ea1105e7686bfc1ec8de160c
COMMIT: cc23d509faaf8f977c9283fbb5240ebbe1465616
COMMIT: 1ec4bec2eb87a2e4aab4c9d4da7dc7207715569b
COMMIT: 2fa8fb0ac5f13fc35b6789344d50ef36d4b92c3a
COMMIT: 3a4117b172eae712f339d58a856fa2890f55679d
